;Scavenger Free;Unnamed: 1_level_0;Mn;Unnamed: 3_level_0;Co;Unnamed: 5_level_0;Cr;Unnamed: 7_level_0
;X;Y;X;Y;X;Y;X;Y
105;157.5973786;0.812597247;173.4915568;0.850548728;206.4635745;0.890826657;168.7959286;0.969650638
106;157.9972511;0.825075829;176.4325745;0.860293102;209.0631073;0.843701455;172.3250806;0.964862669
107;160.0351842;0.804295141;176.435529;0.873821581;209.5548805;0.861327482;172.7284879;0.993526486
108;163.4760869;0.816851598;176.6765198;0.886195762;210.3183509;0.876058236;173.6898031;0.978941433
109;164.1563122;0.840089216;180.8229518;0.86072817;210.7003816;0.893435891;176.7727146;0.962961782
110;164.8242704;0.807157426;181.4406804;0.878840592;212.4656538;0.836500141;177.4930302;0.987919181
111;168.32217;0.820911502;181.6298635;0.835842511;214.3182669;0.850427641;178.2053296;0.976171405
112;168.7216703;0.831685915;185.4053938;0.847891593;215.3548343;0.868672294;181.6393788;0.962070236
113;169.6812295;0.80906068;185.5896317;0.864908912;215.997278;0.900761221;183.4480592;0.977938679
114;173.4846094;0.818737575;187.1891197;0.832155503;217.5029781;0.884921083;186.6217105;0.961790631
115;174.2767275;0.808772386;190.1713485;0.848751391;217.5708069;0.831803214;187.8177067;0.982644959
116;178.5027005;0.816879487;190.1738678;0.860287304;218.7639083;0.839402895;188.2123343;0.971107869
117;181.6907105;0.811372197;190.1766163;0.872871936;219.0851301;0.855447359;191.1695531;0.955844989
118;183.0200497;0.836624928;192.5507567;0.832838747;220.2800066;0.871174615;192.4507065;0.980883352
119;183.6399416;0.81740904;194.8848486;0.869212421;222.1092124;0.829879585;192.9780981;0.971093734
120;187.7801067;0.810480203;194.9387155;0.856078292;222.3480415;0.884312439;195.7247584;0.958178265
121;187.7821299;0.81974389;195.446541;0.843292389;223.6086206;0.837186214;197.3478602;0.976324374
122;187.7850692;0.833202455;199.7014256;0.842081233;223.9296248;0.852234394;200.5213715;0.959535442
123;192.2627231;0.812888952;199.7045557;0.85641373;224.6136793;0.867026809;202.1143111;0.979456397
124;192.7307776;0.830546919;199.7073041;0.868998362;226.7049012;0.830465223;202.5046729;0.948386909
125;197.3124933;0.814384631;201.2082938;0.831589563;226.7166584;0.884299482;205.6857787;0.966371762
